instance	Gamma	objval	objbound	gap	n_iterations	avg_iteration	runtime
j1035_9	3	25.000	19.000	0.240	246	28.936	7200.000
j1035_10	3	28.000	21.000	0.250	41	169.579	7200.000
j1036_1	3	46.000	33.000	0.283	43	163.103	7200.000
j1036_2	3	32.000	26.000	0.188	18	370.740	7200.000
j1036_3	3	23.000	18.000	0.217	57	123.289	7200.000
j1036_4	3	34.000	25.000	0.265	51	134.793	7200.000
j1036_5	3	inf	-inf	nan	0	inf	7200.000
j1036_6	3	32.000	22.000	0.312	36	193.159	7200.000
j1036_7	3	37.000	26.000	0.297	18	348.398	7200.000
j1036_8	3	33.000	25.000	0.242	21	314.289	7200.000
j1036_10	3	47.000	33.000	0.298	13	512.071	7200.000
j1037_1	3	35.000	25.000	0.286	91	77.517	7200.000
j1037_2	3	16.000	13.000	0.187	309	22.999	7200.000
j1037_3	3	27.000	21.000	0.222	69	102.318	7200.000
j1037_4	3	37.000	24.000	0.351	5	1182.755	7200.000
j1037_5	3	46.000	31.000	0.326	1	586.002	7200.000
j1037_6	3	34.000	23.000	0.324	7	888.234	7200.000
j1037_7	3	30.000	22.000	0.267	6	976.825	7200.000
j1037_8	3	38.000	27.000	0.289	17	379.839	7200.000
j1037_9	3	26.000	20.000	0.231	11	581.942	7200.000
j1037_10	3	44.000	31.000	0.295	1	3528.753	7200.000
j1038_1	3	40.000	29.000	0.275	277	25.889	7200.000
j1038_2	3	30.000	21.000	0.300	12	492.588	7200.000
j1038_3	3	31.000	21.000	0.323	57	122.537	7200.000
j1038_4	3	30.000	24.000	0.200	54	126.987	7200.000
j1038_5	3	26.000	19.000	0.269	142	50.088	7200.000
j1038_6	3	27.000	20.000	0.259	20	340.817	7200.000
j1038_7	3	32.000	24.000	0.250	110	63.628	7200.000
j1038_8	3	33.000	27.000	0.182	124	57.500	7200.000
j1038_9	3	36.000	27.000	0.250	62	113.657	7200.000
j1038_10	3	22.000	17.000	0.227	134	52.791	7200.000
j1039_1	3	23.000	18.000	0.217	12	519.459	7200.000
